Ref Name,Qty,Component,Value,Package,Manufacturer,MPN,Description
REF89,1,TO,,,,,Arrow R
REF92,1,TO,,,,,Arrow R
REF93,1,TO,,,,,Arrow R
REF95,1,TO,,,,,Arrow R
REF96,1,TO,,,,,Arrow R
REF97,1,TO,,,,,Arrow R
REF98,1,TO,,,,,Arrow R
REF99,1,TO,,,,,Arrow R
REF108,1,TO,,,,,Arrow R
REF109,1,TO,,,,,Arrow R
REF110,1,TO,,,,,Arrow R
REF111,1,TO,,,,,Arrow R
REF112,1,TO,,,,,Arrow R
REF100,1,TO,,,,,Arrow R
REF101,1,TO,,,,,Arrow R
REF115,1,TO,,,,,Arrow R
REF116,1,TO,,,,,Arrow R
REF61,1,TO,,,,,Arrow R
REF118,1,TO,,,,,Arrow R
REF119,1,TO,,,,,Arrow R
REF120,1,TO,,,,,Arrow R
REF121,1,TO,,,,,Arrow R
REF132,1,TO,,,,,Arrow R
REF133,1,TO,,,,,Arrow R
REF134,1,TO,,,,,Arrow R
REF135,1,TO,,,,,Arrow R
REF136,1,TO,,,,,Arrow R
REF137,1,TO,,,,,Arrow R
REF138,1,TO,,,,,Arrow R
REF139,1,TO,,,,,Arrow R
REF140,1,TO,,,,,Arrow R
REF141,1,TO,,,,,Arrow R
REF142,1,TO,,,,,Arrow R
REF143,1,TO,,,,,Arrow R
REF145,1,TO,,,,,Arrow R
REF146,1,TO,,,,,Arrow R
REF147,1,TO,,,,,Arrow R
REF150,1,TO,,,,,Arrow R
REF151,1,TO,,,,,Arrow R
REF152,1,TO,,,,,Arrow R
REF170,1,TO,,,,,Arrow R
REF171,1,TO,,,,,Arrow R
REF172,1,TO,,,,,Arrow R
REF173,1,TO,,,,,Arrow R
REF174,1,TO,,,,,Arrow R
REF175,1,TO,,,,,Arrow R
REF176,1,TO,,,,,Arrow R
REF177,1,TO,,,,,Arrow R
REF178,1,TO,,,,,Arrow R
REF179,1,TO,,,,,Arrow R
REF180,1,TO,,,,,Arrow R
REF181,1,TO,,,,,Arrow R
REF182,1,TO,,,,,Arrow R
REF185,1,TO,,,,,Arrow R
REF186,1,TO,,,,,Arrow R
REF187,1,TO,,,,,Arrow R
REF188,1,TO,,,,,Arrow R
REF190,1,TO,,,,,Arrow R
REF191,1,TO,,,,,Arrow R
REF192,1,TO,,,,,Arrow R
REF193,1,TO,,,,,Arrow R
REF194,1,TO,,,,,Arrow R
REF195,1,TO,,,,,Arrow R
REF196,1,TO,,,,,Arrow R
REF197,1,TO,,,,,Arrow R
REF199,1,TO,,,,,Arrow R
REF200,1,TO,,,,,Arrow R
REF201,1,TO,,,,,Arrow R
REF202,1,TO,,,,,Arrow R
REF203,1,TO,,,,,Arrow R
REF169,1,TO,,,,,Arrow R
REF204,1,TO,,,,,Arrow R
REF205,1,TO,,,,,Arrow R
REF206,1,TO,,,,,Arrow R
REF212,1,TO,,,,,Arrow R
REF213,1,TO,,,,,Arrow R
REF214,1,TO,,,,,Arrow R
REF215,1,TO,,,,,Arrow R
REF216,1,TO,,,,,Arrow R
REF217,1,TO,,,,,Arrow R
REF218,1,TO,,,,,Arrow R
REF220,1,TO,,,,,Arrow R
REF221,1,TO,,,,,Arrow R
REF222,1,TO,,,,,Arrow R
REF223,1,TO,,,,,Arrow R
REF224,1,TO,,,,,Arrow R
REF225,1,TO,,,,,Arrow R
REF226,1,TO,,,,,Arrow R
REF228,1,TO,,,,,Arrow R
REF106,1,TO,,,,,Arrow R
REF219,1,TO,,,,,Arrow R
REF227,1,TO,,,,,Arrow R
REF229,1,TO,,,,,Arrow R
REF230,1,TO,,,,,Arrow R
VR1,1,TPS72325,,SM,,,
REF1,1,Vdd,,,,,Power
REF14,1,Vdd,,,,,Power
REF15,1,Vdd,,,,,Power
REF16,1,Vdd,,,,,Power
REF76,1,Vdd,,,,,Power
REF2,1,Vdd,,,,,Power
REF3,1,Vdd,,,,,Power
REF9,1,Vdd,,,,,Power
REF82,1,Vdd,,,,,Power
REF58,1,Vdd,,,,,Power
REF59,1,Vdd,,,,,Power
REF60,1,Vdd,,,,,Power
REF21,1,Vdd,,,,,Power
REF24,1,Vdd,,,,,Power
REF8,1,Vss,,,,,Power
REF10,1,Vss,,,,,Power
REF11,1,Vss,,,,,Power
REF78,1,Vss,,,,,Power
